"filename", "language", "C#", "XML", "JSON", "Properties", "Markdown", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\AuthTest\obj\project.assets.json", "JSON", 0, 0, 7192, 0, 0, 0, 0, 7192
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\BLL.csproj", "XML", 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\CategoriaPublicacionServicio.cs", "C#", 100, 0, 0, 0, 0, 0, 8, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\ChatServicio.cs", "C#", 132, 0, 0, 0, 0, 0, 23, 155
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\CodigosVerificacionServicio.cs", "C#", 64, 0, 0, 0, 0, 0, 6, 70
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\ContactanosServicio.cs", "C#", 135, 0, 0, 0, 0, 0, 13, 148
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ICategoriaPublicacionServicio.cs", "C#", 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IChatServicio.cs", "C#", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ICodigosVerificacionServicio.cs", "C#", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IContactanosServicio.cs", "C#", 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IEstadoReporteServicio.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IEstadosServicio.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IFavoritosServicio.cs", "C#", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IFotosPublicacionesServicio.cs", "C#", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ILikesServicio.cs", "C#", 18, 0, 0, 0, 0, 0, 2, 20
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IMensajeAccionServicio.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IMensajesServicio.cs", "C#", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IMotivoReporteServicio.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\INotificacionServicio.cs", "C#", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IPersonaServicio.cs", "C#", 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IPublicacionesServicio.cs", "C#", 27, 0, 0, 0, 0, 0, 2, 29
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IRazonServicio.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IRegistroServicio.cs", "C#", 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IReporteServicio.cs", "C#", 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IReseniaServicio.cs", "C#", 20, 0, 0, 0, 0, 0, 2, 22
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\IRolServicio.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ITipoAccionServicio.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\Contrato\ITipoReporteServicio.cs", "C#", 17, 0, 0, 0, 0, 0, 2, 19
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\EstadoReporteServicio.cs", "C#", 98, 0, 0, 0, 0, 0, 10, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\EstadosServicio.cs", "C#", 100, 0, 0, 0, 0, 0, 8, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\FavoritosServicio.cs", "C#", 66, 0, 0, 0, 0, 0, 11, 77
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\FotosPublicacionesServicio.cs", "C#", 151, 0, 0, 0, 0, 0, 14, 165
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\LikesServicio.cs", "C#", 113, 0, 0, 0, 0, 1, 11, 125
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\MensajeAccionServicio.cs", "C#", 98, 0, 0, 0, 0, 0, 9, 107
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\MensajesServicio.cs", "C#", 124, 0, 0, 0, 0, 0, 15, 139
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\MotivoReporteServicio.cs", "C#", 98, 0, 0, 0, 0, 0, 10, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\NotificacionServicio.cs", "C#", 73, 0, 0, 0, 0, 0, 4, 77
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\PersonaServicio.cs", "C#", 169, 0, 0, 0, 0, 0, 17, 186
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\PublicacionesServicio.cs", "C#", 349, 0, 0, 0, 0, 0, 47, 396
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\RazonesServicio.cs", "C#", 91, 0, 0, 0, 0, 0, 8, 99
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\RegistroServicio.cs", "C#", 117, 0, 0, 0, 0, 0, 19, 136
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\ReporteServicio.cs", "C#", 86, 0, 0, 0, 0, 0, 15, 101
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\ReseniasServicio.cs", "C#", 160, 0, 0, 0, 0, 0, 26, 186
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\RolServicio.cs", "C#", 93, 0, 0, 0, 0, 0, 9, 102
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\TipoAccionServicio.cs", "C#", 100, 0, 0, 0, 0, 0, 9, 109
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\Servicios\TipoReporteServicio.cs", "C#", 98, 0, 0, 0, 0, 0, 10, 108
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\bin\Debug\net8.0\BLL.deps.json", "JSON", 0, 0, 1122, 0, 0, 0, 0, 1122
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Backend\BLL\obj\BLL.csproj.nuget.dgspec.json", "JSON", 0, 0, 379, 0, 0, 0, 0, 379
