"filename", "language", "JSON", "JSON with Comments", "JavaScript", "TypeScript", "PostCSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\message-area\message-area.component.ts", "TypeScript", 0, 0, 0, 55, 0, 0, 0, 0, 8, 63
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\message\message.component.css", "PostCSS", 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\message\message.component.html", "HTML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\mensajes\message\message.component.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\notificaciones\notificaciones.component.css", "PostCSS", 0, 0, 0, 0, 107, 0, 0, 1, 22, 130
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\notificaciones\notificaciones.component.html", "HTML", 0, 0, 0, 0, 0, 57, 0, 3, 5, 65
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\notificaciones\notificaciones.component.ts", "TypeScript", 0, 0, 0, 198, 0, 0, 0, 6, 31, 235
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\favoritos\favoritos\favoritos.component.css", "PostCSS", 0, 0, 0, 0, 224, 0, 0, 8, 48, 280
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\favoritos\favoritos\favoritos.component.html", "HTML", 0, 0, 0, 0, 0, 261, 0, 0, 21, 282
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\favoritos\favoritos\favoritos.component.ts", "TypeScript", 0, 0, 0, 356, 0, 0, 0, 0, 43, 399
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\modificar-productos\modificar-productos.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\modificar-productos\modificar-productos.component.html", "HTML", 0, 0, 0, 0, 0, 237, 0, 44, 19, 300
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\modificar-productos\modificar-productos.component.ts", "TypeScript", 0, 0, 0, 467, 0, 0, 0, 0, 56, 523
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\resenas\resenas\resenas.component.css", "PostCSS", 0, 0, 0, 0, 105, 0, 0, 0, 19, 124
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\resenas\resenas\resenas.component.html", "HTML", 0, 0, 0, 0, 0, 401, 0, 0, 20, 421
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\resenas\resenas\resenas.component.ts", "TypeScript", 0, 0, 0, 189, 0, 0, 0, 0, 35, 224
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\ventana-reportes\ventana-reportes.component.css", "PostCSS", 0, 0, 0, 0, 111, 0, 0, 0, 19, 130
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\ventana-reportes\ventana-reportes.component.html", "HTML", 0, 0, 0, 0, 0, 40, 0, 6, 6, 52
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\ventana-reportes\ventana-reportes.component.ts", "TypeScript", 0, 0, 0, 123, 0, 0, 0, 0, 18, 141
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\ver-productos\ver-productos.component.css", "PostCSS", 0, 0, 0, 0, 285, 0, 0, 0, 63, 348
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\ver-productos\ver-productos.component.html", "HTML", 0, 0, 0, 0, 0, 194, 0, 0, 14, 208
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\componentes\ver-productos\ver-productos.component.ts", "TypeScript", 0, 0, 0, 168, 0, 0, 0, 0, 23, 191
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\productos.component.css", "PostCSS", 0, 0, 0, 0, 88, 0, 0, 0, 19, 107
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\productos.component.html", "HTML", 0, 0, 0, 0, 0, 143, 0, 0, 8, 151
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\productos\productos.component.ts", "TypeScript", 0, 0, 0, 728, 0, 0, 0, 6, 71, 805
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\registro\confirmar-codigo\ventana-confirmar\ventana-confirmar.component.css", "PostCSS", 0, 0, 0, 0, 111, 0, 0, 0, 19, 130
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\registro\confirmar-codigo\ventana-confirmar\ventana-confirmar.component.html", "HTML", 0, 0, 0, 0, 0, 25, 0, 0, 3, 28
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\registro\confirmar-codigo\ventana-confirmar\ventana-confirmar.component.ts", "TypeScript", 0, 0, 0, 40, 0, 0, 0, 0, 6, 46
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\registro\registro.component.css", "PostCSS", 0, 0, 0, 0, 242, 0, 0, 10, 56, 308
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\registro\registro.component.html", "HTML", 0, 0, 0, 0, 0, 241, 0, 0, 18, 259
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\registro\registro.component.ts", "TypeScript", 0, 0, 0, 233, 0, 0, 0, 0, 19, 252
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\rentas\pages\rentas-page\rentas-page.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\rentas\pages\rentas-page\rentas-page.component.html", "HTML", 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\rentas\pages\rentas-page\rentas-page.component.ts", "TypeScript", 0, 0, 0, 198, 0, 0, 0, 14, 29, 241
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\componentes\resuelto\resuelto.component.css", "PostCSS", 0, 0, 0, 0, 553, 0, 0, 27, 92, 672
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\componentes\resuelto\resuelto.component.html", "HTML", 0, 0, 0, 0, 0, 102, 0, 0, 12, 114
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\componentes\resuelto\resuelto.component.ts", "TypeScript", 0, 0, 0, 332, 0, 0, 0, 18, 49, 399
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\componentes\ver-reporte\ver-reporte.component.css", "PostCSS", 0, 0, 0, 0, 50, 0, 0, 0, 10, 60
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\componentes\ver-reporte\ver-reporte.component.html", "HTML", 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\componentes\ver-reporte\ver-reporte.component.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 6, 40
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\reportes.component.css", "PostCSS", 0, 0, 0, 0, 138, 0, 0, 0, 24, 162
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\reportes.component.html", "HTML", 0, 0, 0, 0, 0, 88, 0, 1, 15, 104
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\reportes\reportes.component.ts", "TypeScript", 0, 0, 0, 424, 0, 0, 0, 2, 75, 501
"c:\Users\kevin\Downloads\programacion\Proyecto web\Proyecto-UTrade\UTrade Frontend\src\app\features\soporte\components\ventana-soporte\ventana-soporte.component.css", "PostCSS", 0, 0, 0, 0, 44, 0, 0, 0, 9, 53
